sõnu uudises,esimene isik,negatiivsus,kordaja,positiivsus,väljaanne,link
299,2,19,7.02,2,Uued Uudised,https://uueduudised.ee/uudis/maailm/ameerika-politseivastase-kampaania-acab-tagajarg-politseinikud-on-raskelt-haavatud-protestijad-nouavad-nende-tapmist/
120,2,2,3.33,2,Eesti Päevaleht,https://epl.delfi.ee/kliima/maailma-suurimad-keskkonnasaastajad-viibutavad-tarbijatele-nappu?id=91751915
333,5,1,1.8,6,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/tallinnas-tippkohtumisel-kainud-poola-president-teatas-koroonaviirusega-nakatumisest-terviseamet-kaljulaidi-lahikontaktseks-ei-pea?id=91456416
147,0,2,1.36,5,Telegram,https://www.telegram.ee/maailm/keskpank-kuprose-pangad-jaavad-suletuks-neljapaevani
364,10,3,3.57,13,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/briti-peaminister-johnson-jai-valitsuse-taaskaivitamise-nadalal-eneseisolatsiooni?id=91679625
552,24,11,6.34,28,Telegram,https://www.telegram.ee/maailm/veebi-leiutaja-internet-vajab-oma-magna-cartat
122,0,4,3.28,2,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/merkel-ei-valista-nord-stream-2-vastaseid-sanktsioone?id=90970949
87,0,0,0.0,0,Telegram,https://www.telegram.ee/maailm/soome-vaikelaenude-uhing-lopetab-tegevuse
405,12,17,7.16,18,Telegram,https://www.telegram.ee/arvamus/kuidas-uhendada-eesti-ja-vene-noori
687,5,29,4.95,24,Telegram,https://www.telegram.ee/maailm/fukushima-katastroof-on-osutunud-hullemaks-kui-tsernobol
578,3,10,2.25,7,Uued Uudised,https://uueduudised.ee/uudis/maailm/ulevaade-otse-samoselt-uued-arengud-turgi-kreeka-pingekoldes-prantsusmaa-muudab-joudude-vahekorda/
174,1,3,2.3,7,Delfi,https://www.delfi.ee/news/paevauudised/eesti/isamaa-parempoolsed-said-endale-juhi?id=91236355
147,3,3,4.08,3,Uued Uudised,https://uueduudised.ee/uudis/eesti/tana-tartus-jaak-valge-ettekanne-kas-rahvahaaletused-muudavad-uhiskonna-lohestatuks-voi-sidusaks/
425,4,4,1.88,10,Telegram,https://www.telegram.ee/eesti/eestlased-uletasid-kodanikupalga-algatuse-kvoodi-ullatava-lopuspurdiga
242,1,1,0.83,10,Telegram,https://www.telegram.ee/maailm/rohkem-kui-pooled-ameeriklased-pooldavad-kanepi-legaliseerimist
359,3,9,3.34,14,Uued Uudised,https://uueduudised.ee/uudis/maailm/rootsi-kasvatab-uusi-muidusoojaid-makstes-kinni-sodiva-somaalia-volad/
304,5,18,7.57,3,Uued Uudised,https://uueduudised.ee/uudis/eesti/riigi-laenupoliitikat-kritiseeriv-kaja-kallas-unustab-et-masu-ajal-oli-eesti-reformierakonna-valitsemise-all-polvili/
122,8,0,6.56,3,Delfi,https://www.delfi.ee/news/paevauudised/eesti/kaja-kallas-valitsus-leidis-3-miljonit-advokaadiburoole-aga-ei-leia-225-000-eurot-koolipsuhholoogide-koolitamiseks?id=90574261
146,0,3,2.05,7,Delfi,https://www.delfi.ee/news/paevauudised/eesti/siselinna-kalmistuhoone-sai-nurgakivi?id=90784763
125,1,5,4.8,1,Telegram,https://www.telegram.ee/eesti/eurotsooni-tootuse-maar-kasvas-rekordilisele-tasemele
489,3,9,2.45,21,Eesti Päevaleht,https://epl.delfi.ee/uudised/itk-saab-kalli-masina-mis-suurendab-kunstliku-viljastamise-onnestumise-toenaosust-huppeliselt?id=90201299
391,1,2,0.77,13,Telegram,https://www.telegram.ee/eesti/sel-laupaeval-toimub-rongkaik-loomade-heaks
293,3,6,3.07,7,Uued Uudised,https://uueduudised.ee/uudis/maailm/kas-moistuse-haal-voidutseb-euroopa-liit-hakkab-terrori-tottu-muutma-suhtumist-massimigratsiooni/
610,3,15,2.95,10,Delfi,https://www.delfi.ee/news/paevauudised/eesti/graafik-oopaeva-jooksul-kinnitati-53-koroonaviiruse-juhtu-viirus-noudis-veel-kaks-inimelu?id=91448452
475,4,7,2.32,23,Uued Uudised,https://uueduudised.ee/uudis/eesti/ekre-toetus-tousis-norstati-uuringus-kaesoleva-aasta-korgeimale-tasemele/
143,1,0,0.7,4,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/venemaa-koroonavaktsiini-sputnik-v-esimene-partii-lasti-tsiviilkasutusse?id=90977525
266,2,2,1.5,2,Delfi,https://www.delfi.ee/news/paevauudised/eesti/erisaade-tallinna-kooli-direktor-gumnaasiumi-koduoppele-suunamisest-aga-kus-on-muud-meetmed?id=91820767
630,15,13,4.44,27,Telegram,https://www.telegram.ee/eesti/aktivistid-kutsuvad-ules-rakendama-kriisi-leevendamiseks-kodanikupalka
257,1,4,1.95,5,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/belgia-endise-kuninga-abieluvaline-tutar-nouab-kuninglikke-privileege-ja-tiitleid?id=91013061
271,3,3,2.21,11,Telegram,https://www.telegram.ee/eesti/noored-teevad-lastekaitsepaeval-heategevust
290,3,5,2.76,6,Telegram,https://www.telegram.ee/maailm/island-viskas-fbi-agendid-riigist-valja
127,1,6,5.51,5,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/who-juht-karjaimmuunsusel-pohinev-lahenemine-koroonaviirusele-on-ebamoraalne?id=91335433
149,2,9,7.38,0,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/cnn-saksa-ametnikud-olid-sokeeritud-trumpi-peaaegu-sadistlikest-konedest-merkelile?id=90332051
108,0,6,5.56,0,Uued Uudised,https://uueduudised.ee/uudis/maailm/runnakud-prantsusmaal-jatkuvad-nuud-vigastati-rangalt-preestrit/
481,5,22,5.61,13,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/boris-johnson-on-loogi-all-oma-nouniku-vaidetava-karantiini-eiramise-kaitsmise-parast?id=89960161
310,3,13,5.16,5,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/videopaevik-kas-venemaa-vassib-koroonasurmade-arvuga-peterburis-valitseb-segadus?id=90115243
278,3,12,5.4,3,Telegram,https://www.telegram.ee/maailm/cnn-vene-voimud-annavad-moista-et-tsarnajevite-ema-oli-aarmuslane
225,0,2,0.89,3,Telegram,https://www.telegram.ee/eesti/eesti-ja-soome-kaitsevagi-teevad-venemaa-kohal-vaatluslennu
732,8,33,5.6,20,Delfi,https://www.delfi.ee/news/paevauudised/eesti/inimeste-ohutunnetus-koroonaviiruse-leviku-suhtes-on-huppeliselt-kasvanud?id=91646369
79,4,0,5.06,2,Ärileht,https://arileht.delfi.ee/news/uudised/kolme-mere-algatus-loodab-eesti-eestvedamisel-aasta-lopuks-miljardi-kokku-saada?id=91389579
825,8,37,5.45,20,Telegram,https://www.telegram.ee/maailm/greenwald-paljastas-salaagentide-rapased-trikid-internetikeskkondades
835,25,17,5.03,36,Uued Uudised,https://uueduudised.ee/uudis/eesti/ruuben-kaalep-vaikeriikide-ellujaamise-ainsaks-lootuseks-on-koondumine-tugevateks-regionaalseteks-blokkideks/
815,19,21,4.91,28,Uued Uudised,https://uueduudised.ee/arvamus/henn-polluaas-maarjamae-memoriaal-tuleks-korda-teha-ja-muuta-see-vabadusmonumendiks/
93,2,4,6.45,1,Eesti Päevaleht,https://epl.delfi.ee/arvamus/eesti-vastuolulisim-advokaat-sadekov-kaitseb-halilovit-ja-gulevitsit-soidab-tsikliga-ning-aitab-meeleldi-tasuta?id=90938225
178,1,8,5.06,5,Delfi,https://www.delfi.ee/news/paevauudised/eesti/grippi-sel-sugisel-eestist-veel-leitud-pole?id=91373581
213,2,2,1.88,2,Delfi,https://www.delfi.ee/news/paevauudised/eesti/kaart-uuel-nadalal-ei-pea-liikumisvabadust-piirama-latist-soomest-ja-vatikanist-eestisse-saabujad?id=91242817
250,3,5,3.2,13,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/uus-meremaa-referendumil-haaletati-eutanaasia-lubamise-poolt-ja-kanepi-seadustamise-vastu?id=91522819
314,1,21,7.01,4,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/usa-saatis-pingete-najal-lennukikandja-parsia-lahte?id=91809711
61,0,0,0.0,3,Uued Uudised,https://uueduudised.ee/uudis/eesti/imre-sooaar-tuli-armastussonumiga-riigikokku-lammutama/
154,0,4,2.6,2,Delfi,https://www.delfi.ee/news/paevauudised/eesti/oxfordi-ulikooli-koroonaviiruse-vaktsiin-tekitab-immuunsuse?id=90503261
299,2,13,5.02,8,Telegram,https://www.telegram.ee/maailm/unicef-kritiseeris-iisraeli-palestiina-laste-julma-kohtlemise-parast
1341,26,18,3.28,21,Telegram,https://www.telegram.ee/maavaline/futuroloog-michio-kaku-inimmoistus-on-lukuauk-jargmisse-ajastusse
390,2,31,8.46,10,Uued Uudised,https://uueduudised.ee/uudis/maailm/multikultuurses-birminghamis-puutakse-rohkete-kurjategijate-tausta-salajas-hoida/
257,2,2,1.56,10,Uued Uudised,https://uueduudised.ee/arvamus/repliik/kommentaar-kogu-euroopa-on-tais-korgharitud-poliitikuid-kes-juhivad-riike-ja-kontinenti-ikkagi-katastroofi-suunas/
103,0,4,3.88,3,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/el-pikendas-taas-venemaa-vastaseid-sanktsioone?id=90221433
